activity_id,activity_date,developer,project_code,project_name,requirement_id,deliverable_id,activity_type,activity_title,activity_summary,systems_touched,files_touched,evidence_refs,reusable_asset_created,reusable_pattern,validation_rule,gap_or_risk,next_action,status,priority,llm_queryable,company_knowledge_candidate,memory_tags,source_skill_file,source_type
D02-A01,2026-07-15,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-01,D02,investigation,Amazon NAD reason signal is wrong in the brief - literal value is near-empty,"Validated the NOT_AS_DESCRIBED task brief against live data before building. The brief filters reason = 'NOT_AS_DESCRIBED', but that literal Amazon value has only 33 rows and 0.00 recorded refund in the 3-month window - a near-empty legacy code. The real 'not as described' signal is AMZ-PG-BAD-DESC (194 rows, 4642 refund). Following the brief verbatim yields one 0.00 Amazon candidate; using the real signal yields 3 with genuine refund cost. Stopped and asked before building rather than silently choosing.",postgresql-readonly,"sql/returns_hotspot_queries.sql,Dashboard/index.html",literal NOT_AS_DESCRIBED: 33 rows / 0.00; AMZ-PG-BAD-DESC: 194 rows / 4642.33; candidate SKUs 1 (literal) vs 3 (real signal),true,"A reason/category code named in a requirement is not guaranteed to be the populated one. Always SELECT reason, COUNT(*) first - requirements describe intent, not the data.","Before filtering on any enum/reason value from a spec, verify it is actually populated in the live window; if near-empty, find the real signal and confirm the substitution with the requester.",DWC has not ratified AMZ-PG-BAD-DESC vs NOT_AS_DESCRIBED. Disclosed on the page.,DWC to ratify the Amazon reason-signal choice,completed,critical,true,true,"reason-signal,taxonomy,amz-pg-bad-desc,not-as-described,validate-before-build,rrhd,d02",2026-07-15__sarujanan__rrhd__REQ-01-D02.md,skill_file
D02-A02,2026-07-15,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-01,D02,investigation,Reused the validated eBay bridge; proved 0 eBay candidates is a true result,"The brief's eBay Step 2 rejoined order_transaction on order_id alone - the DR-001 fan-out. Used the validated order_id + item_id bridge instead, per the project's reconciliation rule. Proved three ways that 0 eBay strict candidates is a real database outcome, not a bug: the maximum NAD count on any single eBay SKU is 2 (threshold needs 3), and only one SKU even reaches 2. Both the brief's bridge and the validated bridge return 0.",postgresql-readonly,sql/returns_hotspot_queries.sql,max NAD per eBay SKU = 2; SKUs with >=3 NAD = 0; both bridges yield 0 strict candidates; 73 total eBay NAD returns spread across ~60 variants,true,"Prove an empty result is genuine before shipping it - re-derive the threshold multiple ways so 'zero' is a finding, not a suspected bug.","Resolve eBay SKU via order_transaction on order_id + item_id, never order_id alone (fan-out).",,,completed,high,true,true,"ebay-bridge,order-id-item-id,fan-out,zero-result-proof,rrhd,d02",2026-07-15__sarujanan__rrhd__REQ-01-D02.md,skill_file
D02-A03,2026-07-15,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-01,D02,implementation,Integrated listing_data for title/price with fan-out and SKU-resolution safety,"Joined public.listing_data for title, price and product type. Always filtered wrong_sku = 0; resolved eBay SKU with COALESCE(NULLIF(mapped_sku,''), sku); deduped to one listing row per key preferring is_child = 1 to avoid the one-listing-to-many-SKU fan-out (ASIN B0F28YR5JN returned 6 listing rows). Amazon listing looked up by ref_id = asin + marketplace.",postgresql-readonly,"sql/returns_hotspot_queries.sql,Dashboard/index.html","B0F28YR5JN -> 6 listing_data rows before dedup; wrong_sku=0 enforced; COALESCE(NULLIF(mapped_sku,''),sku) for eBay",true,"listing_data is one-listing-to-many-SKU. Dedup (prefer is_child=1) before joining title/price, or every metric multiplies.","Always wrong_sku = 0 on listing_data; resolve SKU with COALESCE(NULLIF(mapped_sku,''), sku); dedup before join.",,,completed,high,true,true,"listing-data,wrong-sku,mapped-sku,dedup,is-child,rrhd,d02",2026-07-15__sarujanan__rrhd__REQ-01-D02.md,skill_file
D02-A04,2026-07-15,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-01,D02,implementation,Built the NAD Mismatch Candidates section as a 5th tab in the existing dashboard,"Added 'Possible Image/Listing Mismatch Candidates (NOT_AS_DESCRIBED Analysis)' as a new tab inside the existing dashboard file - not a separate file. Amazon and eBay kept in separate tables with clickable ASIN/item_id links, title, price, total returns, NAD count, % NAD and refund. The three SQL deviations (AMZ-PG-BAD-DESC, the item_id bridge, per-currency handling) are disclosed in a note on the page so the reviewer sees them without being told.","html,css,javascript,postgresql-readonly","Dashboard/index.html,sql/returns_hotspot_queries.sql","new tab t5; Amazon links amazon.co.uk/dp/<asin>, eBay links ebay.co.uk/itm/<item_id>; existing 4 tabs and const DATA untouched",true,Extend a validated artefact by appending a new isolated section; keep prior data and calculations byte-identical and prove it.,,,Zero-trust validation of the new section,completed,high,true,true,"dashboard,new-tab,extend-not-replace,nad,rrhd,d02",2026-07-15__sarujanan__rrhd__REQ-01-D02.md,skill_file
D02-A05,2026-07-15,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-01,D02,validation,Zero-trust eBay validation - found and fixed a structureless empty state,Re-ran every eBay query from scratch and diffed against the rendered section. Confirmed 0 eBay strict candidates is real. Found a defect: the empty eBay section rendered only a prose note with no table and no column headers - which reads as broken to a reviewer. Rebuilt it to always render the full column set with a 'No qualifying candidates' row spanning them.,"postgresql-readonly,html,javascript","Dashboard/index.html,validation/reconciliation.md",all 9 required columns present in the empty eBay table; 'No qualifying candidates' message; threshold re-verified,true,A zero-row section must still render its column structure and an explicit 'none found' row - otherwise 'empty' is indistinguishable from 'broken'.,"Empty tables render headers + an explicit empty-state row, never a bare note.",,,completed,high,true,true,"zero-trust,empty-state,table-structure,validation,rrhd,d02",2026-07-15__sarujanan__rrhd__REQ-01-D02.md,skill_file
D02-A06,2026-07-15,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-01,D02,implementation,Moved the Flag / Review Candidate column to the right of the mismatch tables,"Relocated the Flag (Review Candidate badge) column from first to last in both mismatch tables, and adjusted the colgroup widths so the layout stayed balanced.","html,css,javascript",Dashboard/index.html,"column order now SKU, ID, Title, Price, Total Returns, NAD Count, % NAD, Refund, Flag",false,,,,,completed,low,true,false,"ui,column-order,flag,rrhd,d02",2026-07-15__sarujanan__rrhd__REQ-01-D02.md,skill_file
D02-A07,2026-07-15,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-01,D02,implementation,Made the Last Return date column sortable on all four main tables,"Added sort to the Last Return column across the four main tabs. ISO date strings sort chronologically as-is; the column defaults to newest-first (desc) on first click. The previously-restricted sort set (count, refund) now also includes last.","html,javascript",Dashboard/index.html,"Last Return sortable on t1-t4; desc = newest first, verified across all 4 tables",false,ISO YYYY-MM-DD dates sort chronologically as plain strings - no date parsing needed in the comparator.,,,,completed,low,true,false,"ui,sort,last-return,date,rrhd,d02",2026-07-15__sarujanan__rrhd__REQ-01-D02.md,skill_file
D02-A08,2026-07-15,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-01,D02,implementation,Removed the threshold - show all NAD SKUs (175 Amazon / 69 eBay) with pagination,"On request, dropped the >=3 & >=40% filter from the display and now list every SKU with at least one NOT_AS_DESCRIBED return: 175 Amazon + 69 eBay = 244. Added independent per-platform search, column sort and pagination (10/25/50/100/All). The strict >=3 & >=40% candidates keep the 🔴 Review Candidate badge so the strong signal still stands out among the noise (most no-threshold rows are single one-off returns at 100%).","html,css,javascript,postgresql-readonly","Dashboard/index.html,sql/returns_hotspot_queries.sql","Amazon 175, eBay 69; SQL HAVING changed >= 3 to >= 1; 3 Amazon rows badged, 0 eBay badged; pagination verified (page 2 starts at rank 26, no overlap)",true,"When a threshold is removed, keep the qualifying flag as a badge so the strong signal is not lost in the full unfiltered list.","The min-count filter is the real gate, not the share - dropping only the share barely changes the count; dropping the min-count floods with one-off noise.",Most no-threshold rows are single returns at 100% (noise). Badge marks the real candidates.,,completed,high,true,true,"threshold,show-all,pagination,badge,noise,rrhd,d02",2026-07-15__sarujanan__rrhd__REQ-01-D02.md,skill_file
D02-A09,2026-07-15,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-01,D02,implementation,Added Amazon/eBay sub-tabs to the mismatch section,"Split the mismatch section into two switchable sub-tabs - Amazon Mismatch Candidates and eBay Mismatch Candidates - showing one platform table at a time with its own independent search, sort and pagination state. This fixed the reported 'eBay table not appearing': it had been stacked far below Amazon's 175-row table and was easy to miss.","html,css,javascript",Dashboard/index.html,sub-tabs data-mmtab amazon/ebay; only the active platform's table renders; eBay now one click away,true,"When two large tables share a section, sub-tabs beat stacking - a long first table hides the second below the fold.",,,,completed,medium,true,true,"sub-tabs,ui,ebay-visibility,rrhd,d02",2026-07-15__sarujanan__rrhd__REQ-01-D02.md,skill_file
D02-A10,2026-07-15,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-01,D02,investigation,Sticky-header offset bug - overflow-x:auto makes .twrap its own scroll container,"Made the page header sticky and tried to offset the table's own sticky thead by the header height via a --hdr-h CSS variable. That was wrong: .twrap has overflow-x:auto, which makes the browser treat it as a vertical scroll container too, so the table header's top is measured from the table's edge, not the window's. The offset pushed the table header into the middle of its own table, stranding rows 1-3. The reviewer's tooling corrected it to top:0 for the table header, with the page header handling page-level stickiness separately - a cleaner CSS-only fix that was kept.","css,javascript",Dashboard/index.html,"header position:sticky top:0 z-index:100; thead th top:0 (not var(--hdr-h)); minimal control test confirmed headless cannot screenshot sticky, so CSS was verified by reasoning + reviewer fix",true,"overflow-x:auto silently creates a vertical scroll container. Any position:sticky child is then measured from that container, not the window - a classic sticky-offset trap. Prefer CSS-only sticky over JS height measurement.",Do not offset a table's sticky thead by the page-header height when the table sits inside an overflow:auto wrapper; pin the thead to top:0 of its own wrapper.,My JS --hdr-h approach was buggy; superseded by the reviewer's CSS-only fix.,Keep the CSS-only sticky approach,completed,medium,true,true,"sticky-header,overflow-scroll-container,css,bug,reviewer-fix,rrhd,d02",2026-07-15__sarujanan__rrhd__REQ-01-D02.md,skill_file
D02-A11,2026-07-15,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-01,D02,investigation,"Fixed eBay title correctness - keyed by item_id, English-preferred, mojibake removed","Team-lead-requested audit of all eBay titles. Found two correctness problems: (1) titles were resolved by SKU, so 2 rows showed the title of a DIFFERENT eBay listing that shared the SKU rather than the item_id they link to; (2) the Amazon fallback pulled foreign-language titles (Italian/Spanish) and some listing_data titles are character-corrupted mojibake ('c?ble' for cable). Rebuilt the title picker to key on the item_id's own listing first, then a clean UK/English Amazon title for the same SKU, then a same-SKU English eBay title, then any-marketplace as last resort - routing around mojibake. Result: 48 of 69 titled, 0 mojibake, the 2 mismatched titles now correct, only 1 genuinely-French title remains where no English exists.","postgresql-readonly,html,javascript",Dashboard/index.html,"title-by-itemid mismatched title-by-sku on 2 rows (12IP20720, CRSF100SN+...) - now corrected; foreign titles cut ~5 -> ~1; 48/69 titled, mojibake 0; 32 titles from Amazon UK English",true,"Context (title/price) must be keyed by the identifier the row links to (item_id), not by a shared SKU - a SKU-keyed lookup silently shows a neighbouring listing's data. Prefer channel/market-appropriate language; treat foreign and mojibake strings as incorrect display.",eBay title priority: listing-own-title-by-item-id (if not mojibake) -> Amazon UK English by sku -> same-SKU eBay English -> Amazon any -> item-id even if mojibake.,21 eBay rows still have no title in any channel (listing_data eBay titles are sparse).,"Populate eBay listing titles upstream, or accept Amazon-SKU fallback",completed,critical,true,true,"ebay-title,item-id-keying,mojibake,language-preference,listing-data,title-correctness,rrhd,d02",2026-07-15__sarujanan__rrhd__REQ-01-D02.md,skill_file
